State,Municipality,Date,Deaths,Confirmed,Recovered,Active
AGUASCALIENTES,AGUASCALIENTES,3/7/2020,0,1,1,0
AGUASCALIENTES,AGUASCALIENTES,3/10/2020,0,1,1,0
AGUASCALIENTES,AGUASCALIENTES,3/12/2020,0,1,1,0
AGUASCALIENTES,AGUASCALIENTES,3/14/2020,0,1,1,0
AGUASCALIENTES,AGUASCALIENTES,3/16/2020,0,2,2,0
AGUASCALIENTES,AGUASCALIENTES,3/17/2020,0,2,2,0
AGUASCALIENTES,AGUASCALIENTES,3/18/2020,0,4,4,0
AGUASCALIENTES,AGUASCALIENTES,3/19/2020,0,2,2,0
AGUASCALIENTES,AGUASCALIENTES,3/20/2020,0,3,3,0
AGUASCALIENTES,AGUASCALIENTES,3/22/2020,0,5,5,0
AGUASCALIENTES,AGUASCALIENTES,3/23/2020,0,7,7,0
AGUASCALIENTES,AGUASCALIENTES,3/24/2020,0,5,5,0
AGUASCALIENTES,AGUASCALIENTES,3/25/2020,0,4,4,0
AGUASCALIENTES,AGUASCALIENTES,3/26/2020,0,3,3,0
AGUASCALIENTES,AGUASCALIENTES,3/27/2020,1,4,3,0
AGUASCALIENTES,AGUASCALIENTES,3/28/2020,0,1,1,0
AGUASCALIENTES,AGUASCALIENTES,3/29/2020,0,2,2,0
AGUASCALIENTES,AGUASCALIENTES,3/30/2020,0,3,3,0
AGUASCALIENTES,AGUASCALIENTES,4/2/2020,0,2,2,0
AGUASCALIENTES,AGUASCALIENTES,4/3/2020,1,1,0,0
AGUASCALIENTES,AGUASCALIENTES,4/5/2020,1,2,1,0
AGUASCALIENTES,AGUASCALIENTES,4/6/2020,0,4,4,0
AGUASCALIENTES,AGUASCALIENTES,4/7/2020,0,1,1,0
AGUASCALIENTES,AGUASCALIENTES,4/8/2020,1,2,1,0
AGUASCALIENTES,AGUASCALIENTES,4/9/2020,0,3,3,0
AGUASCALIENTES,AGUASCALIENTES,4/10/2020,0,4,4,0
AGUASCALIENTES,AGUASCALIENTES,4/11/2020,1,6,5,0
AGUASCALIENTES,AGUASCALIENTES,4/12/2020,0,5,5,0
AGUASCALIENTES,AGUASCALIENTES,4/13/2020,0,7,7,0
AGUASCALIENTES,AGUASCALIENTES,4/14/2020,0,11,11,0
AGUASCALIENTES,AGUASCALIENTES,4/15/2020,3,10,7,0
AGUASCALIENTES,AGUASCALIENTES,4/16/2020,1,10,9,0
AGUASCALIENTES,AGUASCALIENTES,4/17/2020,0,10,10,0
AGUASCALIENTES,AGUASCALIENTES,4/18/2020,2,15,13,0
AGUASCALIENTES,AGUASCALIENTES,4/19/2020,0,6,6,0
AGUASCALIENTES,AGUASCALIENTES,4/20/2020,1,15,14,0
AGUASCALIENTES,AGUASCALIENTES,4/21/2020,0,4,4,0
AGUASCALIENTES,AGUASCALIENTES,4/22/2020,0,5,5,0
AGUASCALIENTES,AGUASCALIENTES,4/23/2020,0,12,12,0
AGUASCALIENTES,AGUASCALIENTES,4/24/2020,0,12,12,0
AGUASCALIENTES,AGUASCALIENTES,4/25/2020,1,10,9,0
AGUASCALIENTES,AGUASCALIENTES,4/26/2020,1,11,10,0
AGUASCALIENTES,AGUASCALIENTES,4/27/2020,1,28,27,0
AGUASCALIENTES,AGUASCALIENTES,4/28/2020,2,10,8,0
AGUASCALIENTES,AGUASCALIENTES,4/29/2020,0,14,14,0
AGUASCALIENTES,AGUASCALIENTES,4/30/2020,1,15,14,0
AGUASCALIENTES,AGUASCALIENTES,5/1/2020,0,10,10,0
AGUASCALIENTES,AGUASCALIENTES,5/2/2020,0,20,20,0
AGUASCALIENTES,AGUASCALIENTES,5/3/2020,1,7,6,0
AGUASCALIENTES,AGUASCALIENTES,5/4/2020,2,20,18,0
AGUASCALIENTES,AGUASCALIENTES,5/5/2020,1,21,20,0
AGUASCALIENTES,AGUASCALIENTES,5/6/2020,1,8,7,0
AGUASCALIENTES,AGUASCALIENTES,5/7/2020,5,15,10,0
AGUASCALIENTES,AGUASCALIENTES,5/8/2020,1,8,7,0
AGUASCALIENTES,AGUASCALIENTES,5/9/2020,1,6,5,0
AGUASCALIENTES,AGUASCALIENTES,5/10/2020,1,15,14,0
AGUASCALIENTES,AGUASCALIENTES,5/11/2020,0,24,24,0
AGUASCALIENTES,AGUASCALIENTES,5/12/2020,2,9,7,0
AGUASCALIENTES,AGUASCALIENTES,5/13/2020,1,13,12,0
AGUASCALIENTES,AGUASCALIENTES,5/14/2020,1,18,17,0
AGUASCALIENTES,AGUASCALIENTES,5/15/2020,1,17,16,0
AGUASCALIENTES,AGUASCALIENTES,5/16/2020,1,13,12,0
AGUASCALIENTES,AGUASCALIENTES,5/17/2020,0,12,12,0
AGUASCALIENTES,AGUASCALIENTES,5/18/2020,1,21,20,0
AGUASCALIENTES,AGUASCALIENTES,5/19/2020,1,13,12,0
AGUASCALIENTES,AGUASCALIENTES,5/20/2020,1,24,23,0
AGUASCALIENTES,AGUASCALIENTES,5/21/2020,2,15,13,0
AGUASCALIENTES,AGUASCALIENTES,5/22/2020,3,20,17,0
AGUASCALIENTES,AGUASCALIENTES,5/23/2020,7,17,10,0
AGUASCALIENTES,AGUASCALIENTES,5/24/2020,6,28,22,0
AGUASCALIENTES,AGUASCALIENTES,5/25/2020,4,34,30,0
AGUASCALIENTES,AGUASCALIENTES,5/26/2020,6,37,31,0
AGUASCALIENTES,AGUASCALIENTES,5/27/2020,0,27,27,0
AGUASCALIENTES,AGUASCALIENTES,5/28/2020,4,35,31,0
AGUASCALIENTES,AGUASCALIENTES,5/29/2020,3,31,28,0
AGUASCALIENTES,AGUASCALIENTES,5/30/2020,6,34,28,0
AGUASCALIENTES,AGUASCALIENTES,5/31/2020,2,33,31,0
AGUASCALIENTES,AGUASCALIENTES,6/1/2020,4,57,53,0
AGUASCALIENTES,AGUASCALIENTES,6/2/2020,4,41,37,0
AGUASCALIENTES,AGUASCALIENTES,6/3/2020,2,30,28,0
AGUASCALIENTES,AGUASCALIENTES,6/4/2020,3,29,26,0
AGUASCALIENTES,AGUASCALIENTES,6/5/2020,8,44,36,0
AGUASCALIENTES,AGUASCALIENTES,6/6/2020,3,51,48,0
AGUASCALIENTES,AGUASCALIENTES,6/7/2020,2,43,41,0
AGUASCALIENTES,AGUASCALIENTES,6/8/2020,4,56,52,0
AGUASCALIENTES,AGUASCALIENTES,6/9/2020,1,38,37,0
AGUASCALIENTES,AGUASCALIENTES,6/10/2020,4,45,41,0
AGUASCALIENTES,AGUASCALIENTES,6/11/2020,3,26,23,0
AGUASCALIENTES,AGUASCALIENTES,6/12/2020,7,42,35,0
AGUASCALIENTES,AGUASCALIENTES,6/13/2020,2,41,39,0
AGUASCALIENTES,AGUASCALIENTES,6/14/2020,4,43,39,0
AGUASCALIENTES,AGUASCALIENTES,6/15/2020,12,57,45,0
AGUASCALIENTES,AGUASCALIENTES,6/16/2020,7,49,42,0
AGUASCALIENTES,AGUASCALIENTES,6/17/2020,2,38,36,0
AGUASCALIENTES,AGUASCALIENTES,6/18/2020,5,36,31,0
AGUASCALIENTES,AGUASCALIENTES,6/19/2020,4,30,26,0
AGUASCALIENTES,AGUASCALIENTES,6/20/2020,2,37,35,0
AGUASCALIENTES,AGUASCALIENTES,6/21/2020,2,37,35,0
AGUASCALIENTES,AGUASCALIENTES,6/22/2020,4,52,48,0
AGUASCALIENTES,AGUASCALIENTES,6/23/2020,4,34,30,0
AGUASCALIENTES,AGUASCALIENTES,6/24/2020,1,37,36,0
AGUASCALIENTES,AGUASCALIENTES,6/25/2020,3,36,33,0
AGUASCALIENTES,AGUASCALIENTES,6/26/2020,1,25,24,0
AGUASCALIENTES,AGUASCALIENTES,6/27/2020,2,38,36,0
AGUASCALIENTES,AGUASCALIENTES,6/28/2020,4,29,25,0
AGUASCALIENTES,AGUASCALIENTES,6/29/2020,2,40,38,0
AGUASCALIENTES,AGUASCALIENTES,6/30/2020,4,46,42,0
AGUASCALIENTES,AGUASCALIENTES,7/1/2020,7,55,48,0
AGUASCALIENTES,AGUASCALIENTES,7/2/2020,3,41,38,0
AGUASCALIENTES,AGUASCALIENTES,7/3/2020,2,35,33,0
AGUASCALIENTES,AGUASCALIENTES,7/4/2020,5,30,25,0
AGUASCALIENTES,AGUASCALIENTES,7/5/2020,4,50,46,0
AGUASCALIENTES,AGUASCALIENTES,7/6/2020,4,52,48,0
AGUASCALIENTES,AGUASCALIENTES,7/7/2020,3,45,42,0
AGUASCALIENTES,AGUASCALIENTES,7/8/2020,1,41,40,0
AGUASCALIENTES,AGUASCALIENTES,7/9/2020,2,29,27,0
AGUASCALIENTES,AGUASCALIENTES,7/10/2020,3,39,36,0
AGUASCALIENTES,AGUASCALIENTES,7/11/2020,1,41,40,0
AGUASCALIENTES,AGUASCALIENTES,7/12/2020,1,43,42,0
AGUASCALIENTES,AGUASCALIENTES,7/13/2020,4,53,49,0
AGUASCALIENTES,AGUASCALIENTES,7/14/2020,3,49,46,0
AGUASCALIENTES,AGUASCALIENTES,7/15/2020,2,45,43,0
AGUASCALIENTES,AGUASCALIENTES,7/16/2020,2,26,24,0
AGUASCALIENTES,AGUASCALIENTES,7/17/2020,3,43,40,0
AGUASCALIENTES,AGUASCALIENTES,7/18/2020,3,41,38,0
AGUASCALIENTES,AGUASCALIENTES,7/19/2020,3,32,29,0
AGUASCALIENTES,AGUASCALIENTES,7/20/2020,7,45,38,0
AGUASCALIENTES,AGUASCALIENTES,7/21/2020,3,39,36,0
AGUASCALIENTES,AGUASCALIENTES,7/22/2020,4,38,34,0
AGUASCALIENTES,AGUASCALIENTES,7/23/2020,2,39,37,0
AGUASCALIENTES,AGUASCALIENTES,7/24/2020,4,36,32,0
AGUASCALIENTES,AGUASCALIENTES,7/25/2020,6,35,29,0
AGUASCALIENTES,AGUASCALIENTES,7/26/2020,2,28,26,0
AGUASCALIENTES,AGUASCALIENTES,7/27/2020,8,45,37,0
AGUASCALIENTES,AGUASCALIENTES,7/28/2020,2,36,34,0
AGUASCALIENTES,AGUASCALIENTES,7/29/2020,5,42,37,0
